Name,Year,Sex,Team,NOC,City,Sport,Event,Medal
Marcus Stockwell,1984,M,Australia,AUS,Los Angeles,Swimming,Swimming Men's 100 metres Freestyle,Silver
Marcus Stockwell,1984,M,Australia,AUS,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Marcus Stockwell,1984,M,Australia,AUS,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Marcus Tewksbury,1988,M,Canada,CAN,Seoul,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
Marcus Walz,2016,M,Spain,ESP,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Gold
Marcus Watson,2016,M,Great Britain,GBR,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Silver
Mardy Fish,2004,M,United States,USA,Athina,Tennis,Tennis Men's Singles,Silver
Mare (-ibrahimova-),2016,F,Ethiopia,ETH,Rio de Janeiro,Athletics,Athletics Women's Marathon,Bronze
Maree Fish,1988,F,Australia,AUS,Seoul,Hockey,Hockey Women's Hockey,Gold
Marek Bajor,1992,M,Poland,POL,Barcelona,Football,Football Men's Football,Silver
Marek Bik,1988,M,Poland,POL,Seoul,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
Marek Bik,1988,M,Poland,POL,Seoul,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
Marek Dbrowski,1972,M,Poland,POL,Munich,Fencing,"Fencing Men's Foil, Team",Gold
Marek Dopieraa,1988,M,Poland,POL,Seoul,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
Marek Dopieraa,1988,M,Poland,POL,Seoul,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
Marek Gob,1968,M,Poland,POL,Mexico City,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
Marek Jiras,2000,M,Czech Republic-1,CZE,Sydney,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze
Marek Karbarz,1976,M,Poland,POL,Montreal,Volleyball,Volleyball Men's Volleyball,Gold
Marek Kolbowicz,2008,M,Poland,POL,Beijing,Rowing,Rowing Men's Quadruple Sculls,Gold
Marek Komiski,1992,M,Poland,POL,Barcelona,Football,Football Men's Football,Silver
Marek Leniewski,1988,M,Poland,POL,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
Marek Seweryn,1980,M,Poland,POL,Moskva,Weightlifting,Weightlifting Men's Featherweight,Bronze
Marek Witkowski,2000,M,Poland,POL,Sydney,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
Maren Aardahl,2024,F,Norway,NOR,Paris,Handball,Women,Gold
Maren Meinert,2000,F,Germany,GER,Sydney,Football,Football Women's Football,Bronze
Maren Voelz,2024,F,Germany,GER,Paris,Rowing,Women's Quadruple Sculls,Bronze
Margalida Jaume,2012,F,Spain,ESP,London,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
Margaret (-messenger),1956,F,Australia,AUS,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Margaret (-wilburn),1956,F,United States,USA,Melbourne,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
Margaret (-wilding),1956,F,Great Britain,GBR,Melbourne,Swimming,Swimming Women's 100 metres Backstroke,Bronze
Margaret (johnson-),1968,F,United States,USA,Mexico City,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
Margaret (thompson-),1976,F,United States,USA,Montreal,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Silver
Margaret Dingeldein,2004,F,United States,USA,Athina,Water Polo,Water Polo Women's Water Polo,Bronze
Margaret Hoelzer,2008,F,United States,USA,Beijing,Swimming,Swimming Women's 200 metres Backstroke,Silver
Margaret Hoelzer,2008,F,United States,USA,Beijing,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
Margaret Hoelzer,2008,F,United States,USA,Beijing,Swimming,Swimming Women's 100 metres Backstroke,Bronze
Margaret Kelly-hohmann,1980,F,Great Britain,GBR,Moskva,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
Margaret Macneil,2020,F,Canada,CAN,Tokyo,Swimming,Women's 100m Butterfly,Gold
Margaret Macneil,2020,F,Canada,CAN,Tokyo,Swimming,Women's 4 x 100m Freestyle Relay Team,Silver
Margaret Macneil,2020,F,Canada,CAN,Tokyo,Swimming,Women's 4 x 100m Medley Relay Team,Bronze
Margaret Mccarthy,1976,F,United States,USA,Montreal,Rowing,Rowing Women's Coxed Eights,Bronze
Margaret Steffens,2012,F,United States,USA,London,Water Polo,Water Polo Women's Water Polo,Gold
Margaret Wambui,2016,F,Kenya,KEN,Rio de Janeiro,Athletics,Athletics Women's 800 metres,Bronze
Margarete (kallensee-),1952,F,Germany,GER,Helsinki,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
Margareth (-carline-),1988,F,New Zealand,NZL,Seoul,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
Margarita Aliychuk,2008,F,Russia,RUS,Beijing,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
Margarita Mamun,2016,F,Russia,RUS,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Gold
Margarita Riera,2000,F,Spain,ESP,Sydney,Cycling,"Cycling Women's Mountainbike, Cross-Country",Bronze
Margarita Shtarkelova,1976,F,Bulgaria,BUL,Montreal,Basketball,Basketball Women's Basketball,Bronze
Margarita Tishkevich-makhneva,2016,F,Belarus,BLR,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze
Margaux Farrell,2012,F,France,FRA,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
Margaux Pinot,2020,F,France,FRA,Tokyo,Judo,Mixed Team,Gold
Margherita (-tonini),1988,F,Italy,ITA,Seoul,Fencing,"Fencing Women's Foil, Team",Silver
Margherita Granbassi,2008,F,Italy,ITA,Beijing,Fencing,"Fencing Women's Foil, Individual",Bronze
Margherita Granbassi,2008,F,Italy,ITA,Beijing,Fencing,"Fencing Women's Foil, Team",Bronze
Margit -szalay),1952,F,Hungary,HUN,Helsinki,Gymnastics,Gymnastics Women's Balance Beam,Bronze
Margit -szalay),1952,F,Hungary,HUN,Helsinki,Gymnastics,Gymnastics Women's Uneven Bars,Gold
Margit -szalay),1952,F,Hungary,HUN,Helsinki,Gymnastics,Gymnastics Women's Floor Exercise,Bronze
Margit -szalay),1952,F,Hungary,HUN,Helsinki,Gymnastics,Gymnastics Women's Team Portable Apparatus,Bronze
Margit -szalay),1952,F,Hungary,HUN,Helsinki,Gymnastics,Gymnastics Women's Team All-Around,Silver
Margit -szalay),1952,F,Hungary,HUN,Helsinki,Gymnastics,Gymnastics Women's Individual All-Around,Bronze
Margit Otto-crpin,1988,F,France,FRA,Seoul,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver
Margitta (ludewig-),1980,F,East Germany,GDR,Moskva,Athletics,Athletics Women's Shot Put,Bronze
Margitta Helmbold-gummel,1968,F,East Germany,GDR,Mexico City,Athletics,Athletics Women's Shot Put,Gold
Margje (-stenders),1996,F,Netherlands,NED,Atlanta,Hockey,Hockey Women's Hockey,Bronze
Margot Foster,1984,F,Australia,AUS,Los Angeles,Rowing,Rowing Women's Coxed Fours,Bronze
Margot Geffen,2012,F,Netherlands,NED,London,Hockey,Hockey Women's Hockey,Gold
Margot Thien,1996,F,United States,USA,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
Margot Velsen,1980,F,Netherlands,NED,Moskva,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Margriet Matthijsse,1996,F,Netherlands,NED,Atlanta,Sailing,Sailing Women's One Person Dinghy,Silver
Margunn (humlestl-),2000,F,Norway,NOR,Sydney,Football,Football Women's Football,Gold
Marharyta (petrova-),1960,F,Soviet Union,URS,Roma,Gymnastics,Gymnastics Women's Team All-Around,Gold
Marharyta (petrova-),1960,F,Soviet Union,URS,Roma,Gymnastics,Gymnastics Women's Horse Vault,Gold
Marharyta Makhneva,2020,F,Belarus,BLR,Tokyo,Canoe Sprint,Women's Kayak Four 500m Team,Silver
Mari (-paulsen),2000,F,United States,USA,Sydney,Cycling,Cycling Women's Individual Time Trial,Silver
Mari Molid,2016,F,Norway,NOR,Rio de Janeiro,Handball,Handball Women's Handball,Bronze
Maria (-godsick),1992,F,United States,USA,Barcelona,Tennis,Tennis Women's Doubles,Gold
Maria (-godsick),1992,F,United States,USA,Barcelona,Tennis,Tennis Women's Singles,Bronze
Maria (-hoogakkers),1968,F,Netherlands,NED,Mexico City,Athletics,Athletics Women's 800 metres,Bronze
Maria (-mihoreanu),1972,F,Romania,ROU,Munich,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
Maria (-vermeer),2000,F,Netherlands,NED,Sydney,Tennis,Tennis Women's Doubles,Silver
Maria (-visser),1972,F,Netherlands,NED,Munich,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
Maria (cosma-),1984,F,Romania,ROU,Los Angeles,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
Maria (domagala-),1952,F,Germany,GER,Helsinki,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
Maria (domagala-),1952,F,Germany,GER,Helsinki,Athletics,Athletics Women's 80 metres Hurdles,Bronze
Maria (stbich-),1996,F,Austria,AUT,Atlanta,Athletics,"Athletics Women's 1,500 metres",Bronze
Maria (titi-),1960,F,Romania,ROU,Roma,Fencing,"Fencing Women's Foil, Individual",Bronze
Maria -pankowa),1964,F,Poland,POL,Tokyo,Volleyball,Volleyball Women's Volleyball,Bronze
Maria Andrejczyk,2020,F,Poland,POL,Tokyo,Athletics,Women's Javelin Throw,Silver
Maria Bolhuis-eijsvogel,1984,F,Netherlands,NED,Los Angeles,Hockey,Hockey Women's Hockey,Gold
Maria Campoy,2024,F,Argentina,ARG,Paris,Hockey,Women,Bronze
Maria Centracchio,2020,F,Italy,ITA,Tokyo,Judo,Women -63 kg,Bronze
Maria Cioncan,2004,F,Romania,ROU,Athina,Athletics,"Athletics Women's 1,500 metres",Bronze
Maria Collino,1976,F,Italy,ITA,Montreal,Fencing,"Fencing Women's Foil, Individual",Silver
Maria Constantinescu,1980,F,Romania,ROU,Moskva,Rowing,Rowing Women's Coxed Eights,Bronze
Maria Drogenbroek,1984,F,Netherlands,NED,Los Angeles,Rowing,Rowing Women's Coxed Eights,Bronze
Maria Dumitrache,2000,F,Romania,ROU,Sydney,Rowing,Rowing Women's Coxed Eights,Gold
Maria Georgatou,2000,F,Greece,GRE,Sydney,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
Maria Granatto,2024,F,Argentina,ARG,Paris,Hockey,Women,Bronze
Maria Gray,2020,F,United States,USA,Tokyo,Wrestling,Women's Freestyle 76kg,Silver
Maria Keetels,2020,F,Netherlands,NED,Tokyo,Hockey,Women Team,Gold
Maria Lehaci,2024,F,Romania,ROU,Paris,Rowing,Women's Eight,Gold
Maria Maunder,1996,F,Canada,CAN,Atlanta,Rowing,Rowing Women's Coxed Eights,Silver
Maria Mica-macoviciuc,1976,F,Romania,ROU,Montreal,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
Maria Mutola,1996,F,Mozambique,MOZ,Atlanta,Athletics,Athletics Women's 800 metres,Bronze
Maria Naimasi,2020,F,Fiji,FIJ,Tokyo,Rugby Sevens,Women Team,Bronze
Maria Neculi,1992,F,Romania,ROU,Barcelona,Gymnastics,Gymnastics Women's Team All-Around,Silver
Maria Nunnink,2020,F,Netherlands,NED,Tokyo,Hockey,Women Team,Gold
Maria Olaru,2000,F,Romania,ROU,Sydney,Gymnastics,Gymnastics Women's Team All-Around,Gold
Maria Olaru,2000,F,Romania,ROU,Sydney,Gymnastics,Gymnastics Women's Individual All-Around,Silver
Maria Pdurariu,1992,F,Romania,ROU,Barcelona,Rowing,Rowing Women's Coxed Eights,Silver
Maria Perez,2024,F,Spain,ESP,Paris,Athletics,Women's 20km Race Walk,Silver
Maria Perez,2024,F,Spain,ESP,Paris,Athletics,Marathon Race Walk Relay Mixed,Gold
Maria Popescu,2020,F,Romania,ROU,Tokyo,Fencing,Women's Г‰pГ©e Individual,Silver
Maria Prescan,2000,F,Romania,ROU,Sydney,Gymnastics,Gymnastics Women's Team All-Around,Gold
Maria Ribeiro,1996,F,Portugal,POR,Atlanta,Athletics,"Athletics Women's 10,000 metres",Gold
Maria Sajdak,2020,F,Poland,POL,Tokyo,Rowing,Women's Quadruple Sculls Team,Silver
Maria Shurochkina,2020,F,Russia,ROC,Tokyo,Artistic Swimming,Team,Gold
Maria Silva,1996,F,Brazil,BRA,Atlanta,Basketball,Basketball Women's Basketball,Silver
Maria Silva,1996,F,Brazil,BRA,Atlanta,Basketball,Basketball Women's Basketball,Silver
Maria Sjberg,2000,F,Sweden,SWE,Sydney,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Maria Springwald,2016,F,Poland,POL,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,Bronze
Maria Stalman,1984,F,Netherlands,NED,Los Angeles,Athletics,Athletics Women's Discus Throw,Gold
Maria Stanco,2024,F,Italy,ITA,Paris,Shooting,Trap Women,Silver
Maria Trinchinetti,2020,F,Argentina,ARG,Tokyo,Hockey,Women Team,Silver
Maria Verschoor,2016,F,Netherlands,NED,Rio de Janeiro,Hockey,Hockey Women's Hockey,Silver
Maria Vezzali,1996,F,Italy,ITA,Atlanta,Fencing,"Fencing Women's Foil, Individual",Silver
Maria Vezzali,1996,F,Italy,ITA,Atlanta,Fencing,"Fencing Women's Foil, Team",Gold
Maria Welten,2020,F,Netherlands,NED,Tokyo,Hockey,Women Team,Gold
Maria Yulianti,2008,F,Indonesia,INA,Beijing,Badminton,Badminton Women's Singles,Bronze
Mariafe Artacho,2020,F,Australia,AUS,Tokyo,Beach Volleyball,Women Team,Silver
Mariama Mensah,2020,F,United States,USA,Tokyo,Wrestling,Women's Freestyle 68kg,Gold
Marian Drgulescu,2004,M,Romania,ROU,Athina,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Marian Drgulescu,2004,M,Romania,ROU,Athina,Gymnastics,Gymnastics Men's Horse Vault,Bronze
Marian Drgulescu,2004,M,Romania,ROU,Athina,Gymnastics,Gymnastics Men's Floor Exercise,Silver
Marian Dudziak,1964,M,Poland,POL,Tokyo,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Marian Dumitru,1980,M,Romania,ROU,Moskva,Handball,Handball Men's Handball,Bronze
Marian Foik,1964,M,Poland,POL,Tokyo,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Marian Kasprzyk,1960,M,Poland,POL,Roma,Boxing,Boxing Men's Light-Welterweight,Bronze
Marian Kozicki,1980,M,Poland,POL,Moskva,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
Marian Kuszewski,1956,M,Poland,POL,Melbourne,Fencing,"Fencing Men's Sabre, Team",Silver
Marian Oprea,2004,M,Romania,ROU,Athina,Athletics,Athletics Men's Triple Jump,Silver
Marian Ostafiski,1972,M,Poland,POL,Munich,Football,Football Men's Football,Gold
Marian Simion,1996,M,Romania,ROU,Atlanta,Boxing,Boxing Men's Welterweight,Bronze
Marian Sypniewski,1980,M,Poland,POL,Moskva,Fencing,"Fencing Men's Foil, Team",Bronze
Marian Taaj,1976,M,Poland,POL,Montreal,Judo,Judo Men's Half-Middleweight,Bronze
Marian Woronin,1980,M,Poland,POL,Moskva,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Marian Zieliski,1956,M,Poland,POL,Melbourne,Weightlifting,Weightlifting Men's Featherweight,Bronze
Mariana Constantin,1976,F,Romania,ROU,Montreal,Gymnastics,Gymnastics Women's Team All-Around,Silver
Mariana Gulla,2004,F,Argentina,ARG,Athina,Hockey,Hockey Women's Hockey,Bronze
Mariana Limbu,2000,F,Romania,ROU,Sydney,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze
Mariana Londoo,2012,F,Colombia,COL,London,Cycling,Cycling Women's BMX,Gold
Mariana Martnez,2012,F,Mexico,MEX,London,Archery,Archery Women's Individual,Bronze
Mariana Pajon,2020,F,Colombia,COL,Tokyo,Cycling BMX Racing,Women,Silver
Mariana Rossi,2008,F,Argentina,ARG,Beijing,Hockey,Hockey Women's Hockey,Bronze
Mariana Serbezova,1980,F,Bulgaria,BUL,Moskva,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
Mariana Tnas-fricioiu,1984,F,Romania,ROU,Los Angeles,Rowing,Rowing Women's Coxed Fours,Gold
Marianna (chyliska-),1964,F,Poland,POL,Tokyo,Volleyball,Volleyball Women's Volleyball,Bronze
Marianna Banti,2024,F,Italy,ITA,Paris,Sailing,Mixed Multihull,Gold
Marianna Nagy-gdor,1976,F,Hungary,HUN,Montreal,Handball,Handball Women's Handball,Bronze
Marianna Nmethov-krajrov,1964,F,Czechoslovakia,TCH,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,Silver
Marianna Tolo,2024,F,Australia,AUS,Paris,Basketball,Women,Bronze
Marianne (-fankhauser),1964,F,Switzerland,SUI,Tokyo,Equestrianism,"Equestrianism Mixed Dressage, Team",Silver
Marianne (-oudkerk-),1960,F,Netherlands,NED,Roma,Swimming,Swimming Women's 100 metres Butterfly,Silver
Marianne (-paulick),1968,F,East Germany,GDR,Mexico City,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Marianne -ader),1952,F,Germany,GER,Helsinki,Athletics,Athletics Women's Shot Put,Silver
Marianne Christensen,1996,F,Denmark,DEN,Atlanta,Handball,Handball Women's Handball,Gold
Marianne Geenhuizen,2004,F,Netherlands,NED,Athina,Hockey,Hockey Women's Hockey,Silver
Marianne Kriel,1996,F,South Africa,RSA,Atlanta,Swimming,Swimming Women's 100 metres Backstroke,Bronze
Marianne Limpert,1996,F,Canada,CAN,Atlanta,Swimming,Swimming Women's 200 metres Individual Medley,Silver
Marianne Muis,1988,F,Netherlands,NED,Seoul,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
Marianne Pettersen,1996,F,Norway,NOR,Atlanta,Football,Football Women's Football,Bronze
Marianne Rokne,2000,F,Norway,NOR,Sydney,Handball,Handball Women's Handball,Bronze
Marianne Steinbrecher,2008,F,Brazil,BRA,Beijing,Volleyball,Volleyball Women's Volleyball,Gold
Marianne Vos,2008,F,Netherlands,NED,Beijing,Cycling,Cycling Women's Points Race,Gold
Mariano Gonzlez,2004,M,Argentina,ARG,Athina,Football,Football Men's Football,Gold
Mariano Lugo,1988,M,Mexico,MEX,Seoul,Boxing,Boxing Men's Flyweight,Bronze
Maricel Voinea,1980,M,Romania,ROU,Moskva,Handball,Handball Men's Handball,Bronze
Maricia (-iordache),1984,F,Romania,ROU,Los Angeles,Rowing,Rowing Women's Coxed Quadruple Sculls,Gold
Maricica (luca-),1984,F,Romania,ROU,Los Angeles,Athletics,"Athletics Women's 3,000 metres",Gold
Maricica (luca-),1984,F,Romania,ROU,Los Angeles,Athletics,"Athletics Women's 1,500 metres",Bronze
Marid Mutalimov,2008,M,Kazakhstan,KAZ,Beijing,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Bronze
Marie (-wehmann),1952,F,United States,USA,Helsinki,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Marie Delattre-demory,2008,F,France,FRA,Beijing,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Bronze
Marie Hake,2024,F,Germany,GER,Paris,Canoe Sprint,Women's Kayak Double 500m,Bronze
Marie Hake,2024,F,Germany,GER,Paris,Canoe Sprint,Women's Kayak Four 500m,Silver
Marie Lomba,1996,F,Belgium,BEL,Atlanta,Judo,Judo Women's Lightweight,Bronze
Marie Mvers,2016,F,Germany,GER,Rio de Janeiro,Hockey,Hockey Women's Hockey,Bronze
Marie Prouvensier,2016,F,France,FRA,Rio de Janeiro,Handball,Handball Women's Handball,Silver
Marie Reichert,2024,F,Germany,GER,Paris,3x3 Basketball,Women,Gold
Marie Skorov,1980,F,Czechoslovakia,TCH,Moskva,Hockey,Hockey Women's Hockey,Silver
Marie-Claire Restoux,1996,F,France,FRA,Atlanta,Judo,Judo Women's Half-Lightweight,Gold
Marie-Hlne Prmont,2004,F,Canada,CAN,Athina,Cycling,"Cycling Women's Mountainbike, Cross-Country",Silver
Marie-Jos (hontas-),1992,F,France,FRA,Barcelona,Athletics,Athletics Women's 400 metres,Gold
Marie-Madeleine (-murat),1952,F,France,FRA,Helsinki,Diving,Diving Women's Springboard,Silver
Marie-florence Candassamy,2024,F,France,FRA,Paris,Fencing,Women's Г‰pГ©e Team,Silver
Marie-ve Nault,2012,F,Canada,CAN,London,Football,Football Women's Football,Bronze
Marieke Doorn,1984,F,Netherlands,NED,Los Angeles,Hockey,Hockey Women's Hockey,Gold
Marieke Ham,2008,F,Netherlands,NED,Beijing,Water Polo,Water Polo Women's Water Polo,Gold
Marieke Keijser,2020,F,Netherlands,NED,Tokyo,Rowing,Lightweight Women's Double Sculls Team,Bronze
Marieke Westerhof,2000,F,Netherlands,NED,Sydney,Rowing,Rowing Women's Coxed Eights,Silver
Mariel -garciaparra),1996,F,United States,USA,Atlanta,Football,Football Women's Football,Gold
Mariel Zagunis,2004,F,United States,USA,Athina,Fencing,"Fencing Women's Sabre, Individual",Gold
Mariela Arrondo,2000,F,Argentina,ARG,Sydney,Hockey,Hockey Women's Hockey,Silver
Mariela Scarone,2012,F,Argentina,ARG,London,Hockey,Hockey Women's Hockey,Silver
Marieme Badiane,2024,F,France,FRA,Paris,Basketball,Women,Silver
Mariia Novolodskaia,2020,F,Russia,ROC,Tokyo,Cycling Track,Women's Madison Team,Bronze
Marija (-pavievi),1980,F,Yugoslavia,YUG,Moskva,Basketball,Basketball Women's Basketball,Bronze
Marija Jovanovi,2012,F,Montenegro,MNE,London,Handball,Handball Women's Handball,Silver
Marijan Uej,1956,M,Yugoslavia,YUG,Melbourne,Water Polo,Water Polo Men's Water Polo,Silver
Marijn Veen,2024,F,Netherlands,NED,Paris,Hockey,Women,Gold
Mariko (-nakano),1972,F,Japan,JPN,Munich,Volleyball,Volleyball Women's Volleyball,Silver
Mariko Masubuchi,2000,F,Japan,JPN,Sydney,Softball,Softball Women's Softball,Silver
Mariko Yoshida,1976,F,Japan,JPN,Montreal,Volleyball,Volleyball Women's Volleyball,Gold
Marileidy Paulino,2020,F,Dominican Republic,DOM,Tokyo,Athletics,Women's 400m,Silver
Marileidy Paulino,2020,F,Dominican Republic,DOM,Tokyo,Athletics,4 x 400m Relay Mixed Team,Silver
Marilyn (-campbell),1984,F,Canada,CAN,Los Angeles,Rowing,Rowing Women's Coxed Fours,Silver
Marilyn (-vassella),1964,F,Australia,AUS,Tokyo,Athletics,Athletics Women's 200 metres,Bronze
Marilyn (-whitney),1968,F,Canada,CAN,Mexico City,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Marilyn (-young),1960,F,Australia,AUS,Roma,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
Marilyn Agliotti,2008,F,Netherlands,NED,Beijing,Hockey,Hockey Women's Hockey,Gold
Marilyn Ramenofsky,1964,F,United States,USA,Tokyo,Swimming,Swimming Women's 400 metres Freestyle,Silver
Marilyn White,1964,F,United States,USA,Tokyo,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
Marin Cilic,2020,M,Croatia,CRO,Tokyo,Tennis,Men's Doubles Team,Silver
Marin Gheorghe,1988,M,Romania,ROU,Seoul,Rowing,Rowing Men's Coxed Fours,Silver
Marin Musta,1976,M,Romania,ROU,Montreal,Fencing,"Fencing Men's Sabre, Team",Bronze
Marin Russo,2004,F,Argentina,ARG,Athina,Hockey,Hockey Women's Hockey,Bronze
Marina (-hhne),1972,F,East Germany,GDR,Munich,Diving,Diving Women's Springboard,Bronze
Marina (-hhne),1972,F,East Germany,GDR,Munich,Diving,Diving Women's Platform,Bronze
Marina (-jhrling),1976,F,East Germany,GDR,Montreal,Rowing,Rowing Women's Coxed Eights,Gold
Marina (babenko-),1980,F,Soviet Union,URS,Moskva,Rowing,Rowing Women's Coxed Fours,Bronze
Marina (krivosheina-),1992,F,Unified Team,EUN,Barcelona,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
Marina (titova-),1988,F,Soviet Union,URS,Seoul,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
Marina (yartseva-),2016,F,Russia,RUS,Rio de Janeiro,Handball,Handball Women's Handball,Gold
Marina Akobiya,2000,F,Russia,RUS,Sydney,Water Polo,Water Polo Women's Water Polo,Bronze
Marina Dobrancheva-logvinenko,1988,F,Soviet Union,URS,Seoul,Shooting,"Shooting Women's Air Pistol, 10 metres",Bronze
Marina Garcia,2024,F,Spain,ESP,Paris,Artistic Swimming,Team,Bronze
Marina Giacomo,2004,F,Argentina,ARG,Athina,Hockey,Hockey Women's Hockey,Bronze
Marina Goliadkina,2020,F,Russia,ROC,Tokyo,Artistic Swimming,Team,Gold
Marina Goncharova,2012,F,Belarus,BLR,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
Marina Hegering,2024,F,Germany,GER,Paris,Football,Women,Bronze
Marina Karpunina,2008,F,Russia,RUS,Beijing,Basketball,Basketball Women's Basketball,Bronze
Marina Koshevaya,1976,F,Soviet Union,URS,Montreal,Swimming,Swimming Women's 100 metres Breaststroke,Bronze
Marina Koshevaya,1976,F,Soviet Union,URS,Montreal,Swimming,Swimming Women's 200 metres Breaststroke,Gold
Marina Kumysh,1988,F,Soviet Union,URS,Seoul,Volleyball,Volleyball Women's Volleyball,Gold
Marina Kuzina,2008,F,Russia,RUS,Beijing,Basketball,Basketball Women's Basketball,Bronze
Marina Lobach,1988,F,Soviet Union,URS,Seoul,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Gold
Marina Lubian,2024,F,Italy,ITA,Paris,Volleyball,Women,Gold
Marina Neira,2012,F,Spain,ESP,London,Sailing,Sailing Women's Windsurfer,Gold
Marina Nikulina-pankova,1988,F,Soviet Union,URS,Seoul,Volleyball,Volleyball Women's Volleyball,Gold
Marina Poltoran-litvinchuk,2012,F,Belarus,BLR,London,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze
Marina Sciocchetti,1980,F,Italy,ITA,Moskva,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
Marina Shainova,2008,F,Russia,RUS,Beijing,Weightlifting,Weightlifting Women's Lightweight,Silver
Marina Sheshenina,2004,F,Russia,RUS,Athina,Volleyball,Volleyball Women's Volleyball,Silver
Marina Shkermankova,2012,F,Belarus,BLR,London,Weightlifting,Weightlifting Women's Light-Heavyweight,Bronze
Marina Shmonina,1992,F,Unified Team,EUN,Barcelona,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
Marina Volnova,2012,F,Kazakhstan,KAZ,London,Boxing,Boxing Women's Middleweight,Bronze
Marina Vukevi-raji,2012,F,Montenegro,MNE,London,Handball,Handball Women's Handball,Silver
Marina Znak,1996,F,Belarus,BLR,Atlanta,Rowing,Rowing Women's Coxed Eights,Bronze
Marine Fauthoux,2020,F,France,FRA,Tokyo,Basketball,Women Team,Bronze
Marine Johannes,2020,F,France,FRA,Tokyo,Basketball,Women Team,Bronze
Marinella Falca,2004,F,Italy,ITA,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
Marino Morettini,1952,M,Italy,ITA,Helsinki,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Marino Morettini,1952,M,Italy,ITA,Helsinki,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver
